Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Bristle material (product.metafields.shopify.bristle-material),Bristle shape (product.metafields.shopify.bristle-shape),Brush application (product.metafields.shopify.brush-application),Chair features (product.metafields.shopify.chair-features),Color (product.metafields.shopify.color-pattern),Dispenser type (product.metafields.shopify.dispenser-type),Handle material (product.metafields.shopify.handle-material),Paint type (product.metafields.shopify.paint-type),Seat type (product.metafields.shopify.seat-type),Snowboard binding mount (product.metafields.test_data.binding_mount),Snowboard length (product.metafields.test_data.snowboard_length),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Australia,Price / Australia,Compare At Price / Australia,Included / International,Price / International,Compare At Price / International,Included / Mexico,Price / Mexico,Compare At Price / Mexico,Status
Darcy Chair,Darcy Chair,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Amish Village,Uncategorized,,,TRUE,Size,Small,,,,,,,,,200,shopify,deny,manual,19.99,24.99,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-chair_10.png?v=1744783666,1,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC910,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Darcy Chair,,,,,,,,,Medium,,,,,,,,,200,shopify,deny,manual,19.99,24.99,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-chair_11.png?v=1744783665,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Darcy Chair,,,,,,,,,Large,,,,,,,,,3629,shopify,deny,manual,25,24.99,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-chair_12.png?v=1744783665,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Vail Fur Swivel Chair,Vail Fur Swivel Chair,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Amish Village,Uncategorized,,,TRUE,Size,Small,,,,,,,,,3445,shopify,deny,manual,26.67,33.56,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-chair_4.png?v=1744783665,4,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC911,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Vail Fur Swivel Chair,,,,,,,,,Medium,,,,,,,,,3414,shopify,deny,manual,29.175,33.56,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-chair_3.png?v=1744783664,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Vail Fur Swivel Chair,,,,,,,,,Large,,,,,,,,,2341,shopify,deny,manual,31.68,33.56,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-chair_7.png?v=1744783664,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Lindyn Oversized Swivel Accent Chair,Lindyn Oversized Swivel Accent Chair,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Amish Village,Uncategorized,,,TRUE,Size,Small,,,,,,,,,5212,shopify,deny,manual,34.185,48.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-chair_17.png?v=1744783663,7,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC912,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
Lindyn Oversized Swivel Accent Chair,,,,,,,,,Medium,,,,,,,,,4353,shopify,deny,manual,36.69,48.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-chair_9.png?v=1744783663,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Lindyn Oversized Swivel Accent Chair,,,,,,,,,Large,,,,,,,,,5151,shopify,deny,manual,39.195,48.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-chair_8.png?v=1744783663,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,
Mahoney Chaise Chair,Mahoney Chaise Chair,<p>Need a simple style refresh? Liven up your living room essentials with this sofa. A chunky silhouette holds invitingly ample cushioning you���������ll long to lounge in. Crosshatched upholstery and accent pillows give the otherwise casual design a delightful visual texture that's perfect for settings from clas,Amish Village,Uncategorized,,,TRUE,Size,Small,,,,,,,,,2345,shopify,deny,manual,43.5,50,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0743/8257/3784/files/living-room-chair_13.png?v=1744783663,10,,FALSE,Our awesome T-shirt in 70 characters or less.,A great description of your products in 320 characters or less,Apparel & Accessories > Clothing,Unisex,Adult,7X8ABC913,used,FALSE,,,,,,,,,,,,,,,,,,g,,,TRUE,,,TRUE,,,TRUE,,,active
